ticker,test_accuracy,benchmark_test_accuracy,train_accuracy,benchmark_train_accuracy
GFI,0.671875,0.365625,0.6276923076923077,0.39076923076923076
GM,0.6075949367088608,0.43037974683544306,0.6310160427807486,0.40106951871657753
GPS,0.185,0.375,0.2185089974293059,0.3676092544987147
HAL,0.4608695652173913,0.34202898550724636,0.4311111111111111,0.34814814814814815
HIG,0.3438735177865613,0.35968379446640314,0.35377358490566035,0.3594339622641509
HRB,0.21940928270042195,0.38396624472573837,0.22770398481973433,0.3738140417457306
IBM,0.3285968028419183,0.3392539964476021,0.28310104529616725,0.30139372822299654
ING,0.9207317073170732,0.3780487804878049,0.925,0.4111111111111111
ICE,0.18741058655221746,0.37339055793991416,0.17354196301564723,0.3669985775248933
IVR,0.9917695473251029,0.42386831275720166,0.9884615384615385,0.4346153846153846
JCI,0.7914230019493177,0.38596491228070173,0.8125,0.3817307692307692
JNJ,0.3182751540041068,0.33675564681724846,0.3397231096911608,0.36315228966986157
KEG,0.0,0.41935483870967744,0.0,0.36666666666666664
KEYS,0.24703087885985747,0.34441805225653205,0.22950819672131148,0.351288056206089
KMI,0.21153846153846154,0.4423076923076923,0.25217391304347825,0.33043478260869563
KOS,0.40934065934065933,0.3626373626373626,0.40221914008321774,0.3869625520110957
LLY,0.2817073170731707,0.3548780487804878,0.26895306859205775,0.36883273164861613
LEG,0.35323383084577115,0.36318407960199006,0.3448275862068966,0.3825944170771757
LOW,0.24634146341463414,0.3426829268292683,0.2352587244283995,0.35980746089049337
LUV,0.5011185682326622,0.37360178970917224,0.517353579175705,0.39045553145336226
LYG,0.9662337662337662,0.4077922077922078,0.9533742331288344,0.42208588957055215
MBT,0.9521739130434783,0.43043478260869567,0.9640591966173362,0.39323467230443976
MDT,0.29782082324455206,0.324455205811138,0.27832512315270935,0.3657635467980296
MMC,0.33473389355742295,0.42296918767507,0.34583901773533426,0.3765347885402456
MOS,0.33518005540166207,0.3365650969529086,0.364010989010989,0.3585164835164835
MRO,0.5027624309392266,0.34806629834254144,0.5040160642570282,0.3848728246318608
MUX,0.6512968299711815,0.3746397694524496,0.6845070422535211,0.3704225352112676
NIO,0.4444444444444444,0.4861111111111111,0.48201438848920863,0.3381294964028777
NOK,0.05182341650671785,0.4126679462571977,0.05776173285198556,0.3944043321299639
NOW,0.36764705882352944,0.3202614379084967,0.35426731078904994,0.3276972624798712
NVO,0.5484581497797357,0.3436123348017621,0.6195773081201335,0.3770856507230256
OGE,0.4527363184079602,0.3880597014925373,0.44946236559139785,0.3634408602150538
OI,0.2121951219512195,0.35365853658536583,0.2069795427196149,0.38086642599277976
ORCL,0.673582295988935,0.3775933609958506,0.6884008236101579,0.36101578586135896
PANW,0.3352272727272727,0.29734848484848486,0.3198494825964252,0.29350893697083724
PBYI,0.38057324840764334,0.31210191082802546,0.3495679497250589,0.33464257659073054
PEI,0.6382306477093207,0.3744075829383886,0.6120481927710844,0.40401606425702813
PG,0.41277641277641275,0.35135135135135137,0.46060606060606063,0.36787878787878786
PNC,0.3298791018998273,0.31088082901554404,0.3930131004366812,0.3222707423580786
PSX,0.3342036553524804,0.3629242819843342,0.36093143596377747,0.35446313065976714
QEP,0.329923273657289,0.3618925831202046,0.3074984247006931,0.37366099558916194
